"","caseID","race","enroll","activity","duration"
"37",20120101120032,2,5,"Other",15
"38",20120101120032,2,5,"Sleeping",75
"39",20120101120032,2,5,"Grooming",20
"40",20120101120032,2,5,"Traveling",2
"41",20120101120032,2,5,"Working and related activities",203
"42",20120101120032,2,5,"Eating and Drinking",15
"43",20120101120032,2,5,"Working and related activities",240
"44",20120101120032,2,5,"Eating and Drinking",30
"45",20120101120032,2,5,"Working and related activities",75
"46",20120101120032,2,5,"Traveling",2
"47",20120101120032,2,5,"Grooming",45
"48",20120101120032,2,5,"Leisure and Sports",13
"49",20120101120032,2,5,"Other",285
"50",20120101120032,2,5,"Eating and Drinking",10
"51",20120101120032,2,5,"Other",140
"52",20120101120032,2,5,"Other",15
"53",20120101120032,2,5,"Sleeping",30
"54",20120101120032,2,5,"Sleeping",225
"468",20120101120589,2,5,"Sleeping",300
"469",20120101120589,2,5,"Grooming",30
"470",20120101120589,2,5,"Leisure and Sports",60
"471",20120101120589,2,5,"Traveling",15
"472",20120101120589,2,5,"Other",120
"473",20120101120589,2,5,"Traveling",15
"474",20120101120589,2,5,"Eating and Drinking",10
"475",20120101120589,2,5,"Leisure and Sports",410
"476",20120101120589,2,5,"Educational Activities",30
"477",20120101120589,2,5,"Leisure and Sports",120
"478",20120101120589,2,5,"Sleeping",330
"661",20120101120699,1,5,"Sleeping",270
"662",20120101120699,1,5,"Eating and Drinking",30
"663",20120101120699,1,5,"Leisure and Sports",120
"664",20120101120699,1,5,"Leisure and Sports",90
"665",20120101120699,1,5,"Eating and Drinking",60
"666",20120101120699,1,5,"Leisure and Sports",120
"667",20120101120699,1,5,"Sleeping",120
"668",20120101120699,1,5,"Leisure and Sports",90
"669",20120101120699,1,5,"Eating and Drinking",60
"670",20120101120699,1,5,"Leisure and Sports",120
"671",20120101120699,1,5,"Sleeping",360
"942",20120101120836,2,5,"Sleeping",300
"943",20120101120836,2,5,"Eating and Drinking",30
"944",20120101120836,2,5,"Leisure and Sports",60
"945",20120101120836,2,5,"Educational Activities",180
"946",20120101120836,2,5,"Traveling",15
"947",20120101120836,2,5,"Other",10
"948",20120101120836,2,5,"Traveling",15
"949",20120101120836,2,5,"Leisure and Sports",230
"950",20120101120836,2,5,"Educational Activities",120
