"","race","activity","avg_duration"
"1",1,"Education with children",30
"2",1,"Other",67.57
"3",1,"Other activities with children",15.57
"4",1,"Working and related activities",119.07
"5",2,"Education with children",30.37
"6",2,"Other",77.94
"7",2,"Other activities with children",15.38
"8",2,"Working and related activities",123.63
"9",3,"Education with children",30.02
"10",3,"Other",74.19
"11",3,"Other activities with children",10.29
"12",3,"Working and related activities",122.72
"13",4,"Education with children",32.79
"14",4,"Other",71.6
"15",4,"Other activities with children",14.73
"16",4,"Working and related activities",112.45
