race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
1,0,Working and related activities,174.0,124.0,116.0,105.0,112.0,95.0,88.0,97.0,240.0,206.0,273.0,381.0,609.0,968.0,1511.0,2237.0,2645.0,2697.0,2763.0,2743.0,2843.0,2788.0,2823.0,2772.0,2854.0,2705.0,2855.0,2756.0,2819.0,2728.0,2724.0,2554.0,2365.0,2066.0,1941.0,1312.0,1057.0,820.0,731.0,683.0,668.0,591.0,586.0,521.0,457.0,393.0,310.0,230.0
1,0,Education with children,96.0,89.0,104.0,88.0,92.0,78.0,83.0,73.0,150.0,142.0,162.0,278.0,745.0,1279.0,1925.0,2040.0,1697.0,1300.0,1131.0,1017.0,1050.0,996.0,993.0,1004.0,1078.0,1035.0,1072.0,1023.0,1107.0,1271.0,1573.0,1562.0,1664.0,1532.0,1646.0,1600.0,1685.0,1869.0,2480.0,2795.0,2944.0,2458.0,1855.0,1153.0,732.0,400.0,219.0,115.0
1,0,Other activities with children,28.0,18.0,21.0,17.0,17.0,10.0,10.0,6.0,24.0,23.0,27.0,34.0,101.0,264.0,657.0,895.0,669.0,476.0,328.0,243.0,214.0,225.0,267.0,292.0,295.0,246.0,240.0,267.0,411.0,568.0,698.0,651.0,633.0,574.0,697.0,547.0,370.0,268.0,229.0,192.0,169.0,137.0,92.0,75.0,65.0,37.0,28.0,20.0
1,0,Other,9715.0,9126.0,9145.0,8942.0,9003.0,8895.0,8955.0,8888.0,17407.0,8931.0,9333.0,9509.0,10519.0,10489.0,11073.0,9912.0,10431.0,9228.0,9883.0,8881.0,9368.0,8793.0,9340.0,9268.0,10927.0,10121.0,10094.0,9209.0,9399.0,8835.0,9302.0,9223.0,9869.0,10050.0,11603.0,12005.0,12771.0,12162.0,11975.0,11078.0,11427.0,11133.0,12079.0,11531.0,12135.0,11005.0,10639.0,9699.0
2,0,Working and related activities,77.0,62.0,56.0,52.0,49.0,43.0,46.0,44.0,92.0,66.0,93.0,112.0,160.0,256.0,352.0,445.0,486.0,488.0,518.0,535.0,559.0,554.0,548.0,543.0,567.0,533.0,571.0,525.0,560.0,561.0,564.0,515.0,484.0,450.0,428.0,337.0,271.0,220.0,182.0,171.0,164.0,135.0,134.0,126.0,131.0,121.0,118.0,80.0
2,0,Education with children,16.0,12.0,7.0,4.0,7.0,12.0,11.0,6.0,18.0,14.0,36.0,45.0,138.0,174.0,232.0,223.0,184.0,143.0,114.0,109.0,108.0,99.0,103.0,102.0,88.0,68.0,75.0,95.0,120.0,134.0,170.0,191.0,180.0,157.0,183.0,180.0,198.0,200.0,228.0,275.0,295.0,239.0,200.0,174.0,131.0,79.0,54.0,29.0
2,0,Other activities with children,7.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,5.0,5.0,4.0,7.0,27.0,54.0,90.0,116.0,102.0,53.0,32.0,30.0,19.0,22.0,36.0,39.0,34.0,27.0,24.0,34.0,48.0,53.0,82.0,83.0,68.0,57.0,70.0,68.0,71.0,53.0,34.0,23.0,21.0,13.0,12.0,11.0,8.0,11.0,11.0,9.0
2,0,Other,1840.0,1717.0,1724.0,1671.0,1725.0,1665.0,1696.0,1646.0,3204.0,1656.0,1723.0,1773.0,1911.0,1822.0,1852.0,1718.0,1861.0,1695.0,1810.0,1677.0,1720.0,1604.0,1687.0,1646.0,1827.0,1785.0,1835.0,1744.0,1779.0,1641.0,1725.0,1653.0,1832.0,1760.0,1951.0,1944.0,2188.0,2099.0,2172.0,2041.0,2161.0,2103.0,2207.0,2058.0,2116.0,1963.0,1965.0,1823.0
3,0,Working and related activities,6.0,7.0,3.0,3.0,2.0,3.0,3.0,3.0,7.0,9.0,10.0,7.0,11.0,15.0,16.0,21.0,30.0,28.0,31.0,35.0,34.0,31.0,30.0,31.0,33.0,31.0,38.0,34.0,35.0,34.0,40.0,27.0,26.0,27.0,25.0,19.0,24.0,18.0,18.0,13.0,11.0,11.0,10.0,11.0,12.0,11.0,9.0,6.0
3,0,Education with children,2.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,3.0,4.0,20.0,31.0,18.0,15.0,15.0,11.0,9.0,10.0,6.0,4.0,6.0,9.0,10.0,10.0,12.0,16.0,10.0,5.0,6.0,13.0,14.0,11.0,11.0,13.0,19.0,20.0,14.0,20.0,20.0,14.0,6.0,5.0,4.0,2.0
