race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
1,3,Sleeping,0.9,0.92,0.96,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.98,0.96,0.92,0.79,0.71,0.58,0.53,0.42,0.38,0.28,0.24,0.15,0.13,0.08,0.07,0.04,0.05,0.04,0.05,0.06,0.07,0.07,0.08,0.06,0.06,0.05,0.05,0.05,0.06,0.06,0.09,0.14,0.24,0.37,0.54,0.66,0.78,0.84
1,3,Grooming,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.06,0.17,0.21,0.19,0.11,0.1,0.09,0.1,0.08,0.09,0.07,0.05,0.05,0.06,0.04,0.04,0.04,0.03,0.04,0.05,0.05,0.06,0.05,0.07,0.06,0.06,0.08,0.09,0.09,0.11,0.12,0.13,0.12,0.1,0.07,0.05,0.03
1,3,Working and related activities,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.02,0.02,0.01,0.01
1,3,Educational Activities,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.05,0.16,0.29,0.36,0.38,0.39,0.39,0.41,0.42,0.42,0.4,0.41,0.39,0.41,0.4,0.39,0.34,0.28,0.19,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.11,0.1,0.08,0.06,0.04,0.03,0.02
1,3,Eating and Drinking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.05,0.07,0.08,0.06,0.07,0.07,0.09,0.07,0.09,0.09,0.14,0.17,0.26,0.22,0.16,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.14,0.2,0.26,0.22,0.19,0.14,0.13,0.09,0.06,0.03,0.03,0.03,0.01,0.0
1,3,Leisure and Sports,0.14,0.08,0.06,0.04,0.03,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.05,0.09,0.14,0.14,0.13,0.11,0.15,0.18,0.23,0.26,0.29,0.29,0.34,0.34,0.38,0.39,0.41,0.45,0.54,0.55,0.61,0.6,0.62,0.57,0.59,0.61,0.66,0.66,0.7,0.71,0.68,0.59,0.49,0.35,0.28,0.18
1,3,Traveling,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.06,0.2,0.27,0.19,0.13,0.09,0.11,0.11,0.1,0.11,0.14,0.15,0.19,0.16,0.18,0.17,0.22,0.27,0.34,0.28,0.27,0.22,0.24,0.22,0.21,0.17,0.16,0.13,0.15,0.14,0.13,0.1,0.09,0.06,0.05,0.03
1,3,Other,0.02,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.07,0.07,0.07,0.1,0.14,0.16,0.19,0.2,0.22,0.24,0.27,0.23,0.22,0.21,0.22,0.23,0.26,0.26,0.27,0.26,0.27,0.26,0.25,0.21,0.21,0.19,0.19,0.17,0.14,0.12,0.11,0.08,0.06,0.03
1,5,Sleeping,0.78,0.83,0.89,0.9,0.94,0.95,0.97,0.97,0.99,0.96,0.96,0.93,0.9,0.8,0.76,0.64,0.58,0.43,0.37,0.24,0.2,0.12,0.11,0.06,0.06,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.04,0.06,0.13,0.19,0.34,0.44,0.58,0.68
1,5,Grooming,0.05,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.05,0.09,0.09,0.11,0.11,0.12,0.11,0.12,0.1,0.1,0.07,0.06,0.05,0.05,0.05,0.05,0.03,0.04,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.07,0.06,0.05
