race,activities
2,"o,15,s,75,o,20,o,2,o,203,o,15,o,240,o,30,o,75,o,2,o,45,o,13,o,285,o,10,o,140,o,15,s,30,s,225"
2,"s,300,o,30,o,60,o,15,o,120,o,15,o,10,o,410,w,30,o,120,s,330"
1,"s,270,o,30,o,120,o,90,o,60,o,120,s,120,o,90,o,60,o,120,s,360"
2,"s,300,o,30,o,60,w,180,o,15,o,10,o,15,o,230,w,120,o,45,s,435"
1,"o,5,o,10,o,20,o,30,o,115,o,20,o,160,o,30,o,150,o,15,o,165,o,30,o,10,o,1,o,1,o,15,o,10,o,30,o,7,o,120,o,7,o,5,o,15,o,20,o,45,o,20,o,60,o,10,s,314"
1,"s,300,o,30,o,60,o,300,o,45,o,20,o,5,o,45,o,5,o,10,o,5,o,5,o,15,o,5,o,45,o,45,o,15,o,35,o,10,o,30,s,410"
2,"s,420,o,10,o,1,o,60,o,5,o,1,o,1,w,312,o,1,o,59,o,1,w,149,o,120,o,30,s,270"
1,"s,150,o,20,o,1,o,30,c,189,o,5,o,10,o,3,o,10,o,10,o,112,s,180,o,60,o,3,o,237,o,3,o,10,o,77,s,330"
2,"s,330,o,30,o,15,o,105,o,60,o,10,o,80,o,10,o,80,o,180,o,15,o,90,o,15,o,10,o,20,o,150,s,240"
1,"s,330,o,30,o,15,o,15,o,90,o,20,o,100,o,45,o,165,o,30,o,60,o,20,o,90,o,20,o,60,o,5,o,3,o,1,o,10,o,10,s,321"
1,"s,180,o,35,o,35,o,60,o,20,o,60,o,10,o,20,o,25,o,60,w,120,o,60,w,125,o,35,o,30,w,265,o,90,s,180,o,30"
1,"s,360,o,120,o,90,o,30,o,1,o,5,c,504,o,5,w,60,o,60,s,205"
1,"s,270,o,30,o,30,w,210,o,15,o,7,o,15,o,15,o,1,o,5,o,2,o,5,o,30,o,5,o,1,o,5,o,180,o,5,w,15,w,294,s,300"
1,"s,105,o,30,o,15,o,30,c,690,o,5,o,145,o,35,o,40,o,10,o,10,o,15,o,60,s,250"
1,"s,180,o,40,o,30,o,15,c,515,o,15,o,60,w,225,s,360"
1,"s,140,o,25,o,15,o,30,c,445,o,125,o,3,o,1,o,45,o,101,o,45,o,75,o,30,o,3,s,357"
1,"s,540,o,60,o,15,s,225,o,30,o,60,o,5,s,30,s,475"
1,"s,165,o,7,o,7,o,10,c,268,o,47,c,159,o,27,o,150,o,5,o,25,o,10,w,30,o,110,o,45,s,375"
1,"s,480,o,30,o,180,o,25,o,65,o,5,o,10,o,5,o,190,o,25,o,60,o,25,o,30,o,120,s,190"
1,"s,300,o,30,o,5,o,5,o,10,c,50,o,60,c,140,o,90,o,60,o,5,o,60,o,5,o,60,o,60,w,60,o,30,o,15,o,5,o,60,o,10,o,90,o,15,s,215"
2,"s,150,o,30,o,20,c,340,o,10,c,89,o,15,o,5,o,120,o,120,o,180,s,361"
1,"s,210,o,10,o,30,o,120,o,60,o,50,o,15,o,5,o,100,o,10,o,110,o,45,o,15,o,25,o,35,o,10,o,110,o,60,o,60,s,360"
1,"s,120,o,20,o,15,c,475,o,20,o,20,o,20,o,35,o,30,o,35,o,140,o,30,o,60,o,30,s,390"
4,"s,240,o,60,o,15,o,165,o,5,o,55,o,15,o,45,o,30,o,90,o,60,o,10,o,20,o,210,o,30,o,50,o,40,s,300"
2,"s,390,o,75,o,10,o,185,o,25,o,95,o,60,o,13,o,1,o,15,o,90,o,30,o,1,o,7,o,12,o,10,o,120,o,10,o,291"
1,"s,240,o,120,o,60,o,15,o,105,o,8,o,60,o,5,o,60,o,10,s,120,o,4,o,8,o,145,o,8,o,30,o,5,o,77,w,40,s,320"
1,"s,420,o,300,o,5,o,60,o,5,o,1,o,90,o,199,s,360"
1,"s,360,o,10,o,170,o,30,o,30,o,45,o,195,o,120,o,15,o,15,o,60,s,390"
1,"s,180,o,10,o,10,o,10,o,25,c,265,o,55,c,75,o,30,o,135,o,15,o,30,w,150,o,90,o,30,o,45,s,285"
1,"s,480,o,60,o,30,o,30,o,60,o,8,o,5,o,2,o,5,o,10,o,120,o,1,o,120,o,15,o,45,o,15,o,30,o,10,o,90,o,45,s,259"
1,"s,420,o,40,o,30,w,120,o,30,o,20,o,30,o,20,o,30,o,10,o,60,o,30,o,90,o,10,o,30,o,60,w,120,s,290"
1,"s,105,o,10,o,5,o,60,o,5,o,10,o,10,o,20,o,15,o,30,c,235,o,20,o,25,c,175,o,30,o,10,o,5,o,250,o,5,o,10,o,15,w,90,o,2,s,298"
1,"s,360,o,60,o,20,o,30,o,5,o,30,o,30,o,60,o,20,o,30,o,5,o,60,o,10,o,2,o,5,o,30,w,263,o,180,o,30,s,210"
2,"s,210,o,60,o,240,o,60,s,210,w,240,o,45,o,90,s,285"
1,"s,360,o,30,o,60,o,35,o,180,o,60,o,30,o,15,o,10,o,60,o,20,o,30,o,60,s,490"
1,"s,120,o,60,o,90,o,30,o,300,o,30,o,240,o,5,o,5,o,20,o,60,o,120,o,60,s,300"
2,"s,210,o,120,o,30,o,15,o,30,o,15,w,180,o,30,o,45,o,105,o,35,o,30,o,30,o,15,o,85,w,60,s,405"
1,"o,30,o,60,o,1,o,2,o,45,o,1,o,15,w,240,o,15,o,5,o,30,o,2,o,30,o,5,o,5,o,270,o,2,o,90,o,5,s,587"
1,"s,300,o,10,o,30,o,15,o,80,o,15,o,30,o,15,o,75,o,15,o,225,o,10,o,15,o,125,o,20,o,30,o,100,o,25,o,65,s,240"
1,"s,150,o,30,o,30,c,420,o,30,o,120,o,150,o,30,o,120,o,20,o,180,s,160"
1,"s,540,o,60,o,10,o,2,o,60,o,30,o,5,o,60,o,30,o,120,o,15,o,20,o,120,o,10,o,5,o,10,o,15,o,178,s,150"
1,"s,300,o,10,o,10,w,40,o,30,o,30,o,20,o,60,o,15,o,20,o,15,o,20,o,30,w,30,w,60,o,30,o,15,o,20,o,15,w,60,o,10,o,60,o,10,o,110,o,300,s,120"
1,"s,180,o,15,o,90,o,255,o,15,o,5,o,30,o,25,o,30,o,5,o,30,o,30,w,120,o,150,s,460"
1,"s,330,o,10,o,15,o,5,o,150,o,5,o,5,o,5,o,20,o,385,o,5,o,45,o,5,o,65,o,20,o,55,s,315"
1,"s,150,o,15,o,10,o,120,o,2,o,10,o,240,o,20,o,180,o,15,o,10,o,10,o,60,o,120,o,35,o,60,o,60,s,323"
1,"s,420,o,60,o,15,o,105,o,60,o,120,o,10,o,5,o,15,o,90,o,10,o,140,o,15,o,5,o,15,o,25,o,10,o,35,o,45,s,240"
1,"s,150,o,25,o,2,o,10,o,18,c,260,o,43,c,105,o,10,o,1,o,5,s,151,o,5,o,30,o,30,o,15,o,10,o,30,o,10,o,5,o,30,o,60,o,10,s,425"
1,"s,240,o,30,o,90,s,240,o,360,s,480"
1,"s,300,o,60,o,150,o,15,w,375,o,240,s,300"
1,"s,240,o,90,o,150,o,4,o,3,o,98,o,15,o,15,o,15,o,10,o,5,o,5,o,5,o,30,o,3,o,25,o,10,o,2,o,10,o,15,o,10,o,30,o,10,o,10,o,5,o,10,o,15,o,20,o,15,o,145,s,420"
1,"s,480,o,30,o,360,o,30,o,330,s,210"
1,"s,480,o,60,o,15,o,15,o,150,o,15,o,135,o,10,o,120,o,60,o,80,s,300"
1,"s,600,o,60,o,180,o,60,o,120,o,30,s,390"
2,"s,165,o,60,o,5,c,430,o,5,o,90,o,3,o,20,o,5,o,3,o,354,s,300"
2,"s,60,o,30,o,30,o,65,o,55,o,5,o,5,o,170,o,40,o,2,o,20,o,118,o,90,o,90,o,180,o,30,o,60,o,2,o,148,s,240"
1,"s,60,o,20,o,10,c,15,o,15,c,330,o,30,c,150,o,15,w,255,o,20,o,70,o,30,s,420"
1,"s,210,o,10,o,15,o,20,c,150,o,10,c,65,o,20,o,20,o,70,o,5,o,30,o,60,w,150,o,15,o,90,o,40,o,15,o,20,o,90,o,35,s,300"
1,"s,360,o,120,w,90,o,60,o,20,o,30,s,280,s,480"
