race,activities
2,"o,15,s,75,o,20,o,2,o,203,o,15,o,240,o,30,o,75,o,2,o,45,o,13,o,285,o,10,o,140,o,15,s,30,s,225"
2,"s,300,o,30,o,60,o,15,o,120,o,15,o,10,o,410,w,30,o,120,s,330"
1,"s,270,o,30,o,120,o,90,o,60,o,120,s,120,o,90,o,60,o,120,s,360"
2,"s,300,o,30,o,60,w,180,o,15,o,10,o,15,o,230,w,120,o,45,s,435"
1,"o,5,o,10,o,20,o,30,o,115,o,20,o,160,o,30,o,150,o,15,o,165,o,30,o,10,o,1,o,1,o,15,o,10,o,30,o,7,o,120,o,7,o,5,o,15,o,20,o,45,o,20,o,60,o,10,s,314"
2,"s,420,o,10,o,1,o,60,o,5,o,1,o,1,w,312,o,1,o,59,o,1,w,149,o,120,o,30,s,270"
1,"s,150,o,20,o,1,o,30,c,189,o,5,o,10,o,3,o,10,o,10,o,112,s,180,o,60,o,3,o,237,o,3,o,10,o,77,s,330"
1,"s,330,o,30,o,15,o,15,o,90,o,20,o,100,o,45,o,165,o,30,o,60,o,20,o,90,o,20,o,60,o,5,o,3,o,1,o,10,o,10,s,321"
1,"s,180,o,35,o,35,o,60,o,20,o,60,o,10,o,20,o,25,o,60,w,120,o,60,w,125,o,35,o,30,w,265,o,90,s,180,o,30"
1,"s,140,o,25,o,15,o,30,c,445,o,125,o,3,o,1,o,45,o,101,o,45,o,75,o,30,o,3,s,357"
1,"s,540,o,60,o,15,s,225,o,30,o,60,o,5,s,30,s,475"
1,"s,165,o,7,o,7,o,10,c,268,o,47,c,159,o,27,o,150,o,5,o,25,o,10,w,30,o,110,o,45,s,375"
2,"s,150,o,30,o,20,c,340,o,10,c,89,o,15,o,5,o,120,o,120,o,180,s,361"
1,"s,210,o,10,o,30,o,120,o,60,o,50,o,15,o,5,o,100,o,10,o,110,o,45,o,15,o,25,o,35,o,10,o,110,o,60,o,60,s,360"
1,"s,120,o,20,o,15,c,475,o,20,o,20,o,20,o,35,o,30,o,35,o,140,o,30,o,60,o,30,s,390"
1,"s,240,o,120,o,60,o,15,o,105,o,8,o,60,o,5,o,60,o,10,s,120,o,4,o,8,o,145,o,8,o,30,o,5,o,77,w,40,s,320"
1,"s,420,o,300,o,5,o,60,o,5,o,1,o,90,o,199,s,360"
1,"s,360,o,10,o,170,o,30,o,30,o,45,o,195,o,120,o,15,o,15,o,60,s,390"
1,"s,420,o,40,o,30,w,120,o,30,o,20,o,30,o,20,o,30,o,10,o,60,o,30,o,90,o,10,o,30,o,60,w,120,s,290"
1,"s,105,o,10,o,5,o,60,o,5,o,10,o,10,o,20,o,15,o,30,c,235,o,20,o,25,c,175,o,30,o,10,o,5,o,250,o,5,o,10,o,15,w,90,o,2,s,298"
2,"s,210,o,60,o,240,o,60,s,210,w,240,o,45,o,90,s,285"
1,"o,30,o,60,o,1,o,2,o,45,o,1,o,15,w,240,o,15,o,5,o,30,o,2,o,30,o,5,o,5,o,270,o,2,o,90,o,5,s,587"
1,"s,300,o,10,o,30,o,15,o,80,o,15,o,30,o,15,o,75,o,15,o,225,o,10,o,15,o,125,o,20,o,30,o,100,o,25,o,65,s,240"
1,"s,150,o,30,o,30,c,420,o,30,o,120,o,150,o,30,o,120,o,20,o,180,s,160"
1,"s,540,o,60,o,10,o,2,o,60,o,30,o,5,o,60,o,30,o,120,o,15,o,20,o,120,o,10,o,5,o,10,o,15,o,178,s,150"
1,"s,180,o,15,o,90,o,255,o,15,o,5,o,30,o,25,o,30,o,5,o,30,o,30,w,120,o,150,s,460"
1,"s,420,o,60,o,15,o,105,o,60,o,120,o,10,o,5,o,15,o,90,o,10,o,140,o,15,o,5,o,15,o,25,o,10,o,35,o,45,s,240"
1,"s,300,o,60,o,150,o,15,w,375,o,240,s,300"
1,"s,600,o,60,o,180,o,60,o,120,o,30,s,390"
1,"s,360,o,120,w,90,o,60,o,20,o,30,s,280,s,480"
1,"s,240,o,5,o,5,o,5,o,1,o,5,o,60,o,2,o,60,o,90,w,15,o,60,o,5,o,10,o,10,o,1,o,120,o,5,w,10,o,60,o,2,o,10,o,5,o,90,o,20,o,10,o,20,o,5,o,5,o,10,o,10,o,60,w,304,s,120"
1,"s,150,o,45,o,15,o,5,o,15,o,10,w,20,w,2,o,2,c,431,o,5,o,15,o,5,o,60,o,5,o,45,o,10,o,5,o,30,o,20,o,10,o,5,o,15,o,60,o,15,o,5,o,5,o,20,o,20,w,30,o,15,s,345"
1,"o,420,o,150,o,15,o,5,o,15,o,15,o,30,s,250,o,240,s,300"
1,"s,80,o,60,o,20,o,500,o,20,o,60,o,60,o,5,o,60,o,5,o,30,o,90,o,120,s,330"
1,"s,90,o,15,o,10,o,15,o,20,o,30,o,45,o,5,c,260,o,30,c,160,o,30,o,20,o,10,o,40,w,120,o,30,o,20,o,40,s,450"
1,"s,420,o,20,s,100,o,5,o,120,o,15,o,180,o,15,o,3,o,3,o,3,o,120,o,90,o,60,s,286"
1,"s,120,o,30,o,120,o,5,o,60,o,20,o,120,o,15,o,60,o,5,o,195,o,6,o,65,o,6,w,163,o,15,o,120,s,315"
2,"s,240,o,15,o,120,o,10,o,455,o,30,o,240,o,10,o,10,s,310"
1,"s,60,o,20,o,45,o,415,o,30,o,45,o,165,s,660"
1,"s,90,o,30,o,120,c,450,o,150,o,5,o,30,w,60,o,30,o,85,s,390"
1,"s,90,o,30,o,5,o,20,o,20,o,15,w,360,o,15,o,45,o,60,o,33,o,5,o,20,o,47,o,15,o,20,c,160,o,30,o,60,s,390"
4,"s,140,o,25,o,5,o,10,c,15,o,10,c,245,o,30,c,130,o,10,o,40,w,240,o,10,o,10,o,90,o,10,w,60,o,30,o,30,s,300"
1,"s,420,o,20,o,6,o,180,o,15,o,60,o,15,o,45,o,20,o,10,o,120,o,10,w,30,o,150,s,339"
1,"s,420,o,15,o,60,o,10,o,210,o,7,o,120,o,10,o,40,o,150,o,15,o,30,s,353"
1,"s,150,o,15,o,15,o,5,o,45,c,160,o,15,o,1,w,10,c,235,o,15,o,69,o,5,o,20,w,20,o,15,o,5,o,80,o,185,o,15,o,15,o,20,w,55,o,10,s,260"
4,"s,330,o,120,o,60,o,10,o,140,o,120,o,15,o,165,o,10,o,45,o,90,o,30,s,305"
1,"s,120,o,15,o,30,o,10,o,545,o,10,o,60,o,30,o,30,o,30,w,290,s,270"
1,"s,240,o,30,o,45,o,60,o,30,o,15,o,15,o,225,o,5,o,175,o,60,o,60,o,30,s,450"
2,"o,120,o,30,s,240,o,45,o,75,o,30,o,60,o,10,o,70,o,25,o,20,o,115,s,180,o,25,o,5,o,5,o,25,o,360"
1,"s,420,o,30,o,210,o,320,o,10,o,390,o,10,s,50"
1,"s,300,o,15,o,60,o,30,o,60,o,15,o,15,o,120,o,120,o,60,o,60,o,60,o,120,o,60,o,30,o,15,s,300"
1,"s,180,o,15,o,60,o,15,o,60,o,180,o,30,o,30,o,30,o,60,o,15,o,105,o,15,o,345,s,300"
1,"s,60,o,15,o,10,o,2,o,5,o,75,o,5,c,428,o,75,o,75,w,180,o,15,w,30,o,15,o,120,s,330"
1,"s,240,o,10,o,50,o,10,s,170,o,30,o,90,s,120,o,15,o,90,o,45,o,90,s,180,o,20,o,100,s,180"
2,"s,120,o,30,o,15,o,5,o,8,o,32,o,30,o,210,o,30,o,196,o,2,o,192,o,15,o,10,o,30,o,30,w,60,o,30,s,395"
1,"s,210,o,5,o,3,o,15,o,60,o,15,o,82,o,30,o,60,o,30,o,30,o,45,o,15,o,30,o,180,o,30,o,60,o,30,o,120,o,270,o,15,o,60,s,45"
1,"s,120,w,240,o,15,o,90,o,30,o,150,o,30,o,120,w,120,o,30,o,60,o,120,s,315"
1,"s,120,o,45,o,22,o,13,o,10,c,210,o,30,c,310,o,3,o,10,o,10,o,2,o,6,o,20,o,120,o,40,o,15,w,40,o,15,s,399"
