race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
1,3,Sleeping,1318,1347,1399,1409,1430,1437,1445,1440,2871,1433,1434,1393,1340,1151,1030,850,776,614,560,411,349,213,188,122,105,61,69,64,79,90,98,103,111,91,86,74,75,70,82,83,138,206,351,538,789,960,1138,1219
1,3,Grooming,28,13,16,9,4,2,5,4,7,8,43,94,246,306,275,166,153,136,140,122,131,97,80,67,88,62,65,52,50,52,73,77,83,75,102,93,93,113,124,124,164,171,196,170,151,100,75,41
1,3,Working and related activities,9,4,3,1,0,0,0,1,2,2,3,2,5,6,9,11,17,21,30,35,43,51,56,58,61,55,58,69,67,70,79,89,101,96,100,99,91,80,76,65,65,59,57,40,31,22,15,9
1,3,Educational Activities,21,6,3,0,0,0,0,0,3,3,4,9,30,73,240,420,528,551,571,571,598,606,606,583,591,570,594,577,574,493,408,275,238,216,213,202,206,199,206,194,181,155,141,122,93,61,43,30
1,3,Eating and Drinking,7,4,5,0,0,0,1,0,4,3,15,24,75,99,110,85,105,99,128,95,137,138,203,243,372,320,227,119,110,110,127,129,136,148,211,287,372,328,283,206,190,131,86,48,47,42,21,5
1,3,Leisure and Sports,209,117,89,56,46,25,22,15,29,17,20,36,66,127,201,197,187,157,214,265,341,373,428,425,503,501,557,563,604,651,782,809,888,869,902,838,862,889,962,956,1023,1031,992,853,715,511,409,259
1,3,Traveling,34,15,9,4,4,1,3,1,8,6,9,22,85,289,397,280,184,133,159,161,152,157,207,213,281,234,262,248,317,391,491,403,400,322,345,315,304,249,230,196,213,203,190,148,124,86,75,44
1,3,Other,34,23,18,8,6,4,5,2,7,3,4,17,72,107,107,102,107,140,211,235,274,291,328,349,399,341,319,306,324,334,384,372,397,380,392,381,371,299,312,278,275,246,205,174,155,118,85,51
1,5,Sleeping,1002,1076,1152,1166,1207,1226,1255,1249,2477,1241,1236,1205,1165,1033,979,827,751,549,481,308,262,155,137,79,73,44,53,49,58,60,55,52,57,52,48,36,38,30,29,32,56,83,170,251,439,571,749,871
1,5,Grooming,60,24,29,21,18,15,13,12,25,19,30,66,116,121,143,138,160,143,158,124,131,90,77,61,66,60,60,41,52,43,46,55,69,54,51,59,55,64,69,61,71,74,89,100,122,94,83,61
1,5,Working and related activities,25,20,15,14,14,11,10,10,18,13,19,30,42,63,97,130,165,195,215,227,251,250,265,263,273,249,270,261,277,267,293,280,279,264,246,209,188,161,150,143,134,122,118,100,85,63,55,37
1,5,Educational Activities,65,43,31,16,16,10,5,3,10,6,11,13,22,35,70,110,153,189,238,263,276,283,305,296,303,262,278,265,281,272,272,242,240,223,226,205,218,210,215,209,209,217,217,196,174,137,116,86
1,5,Eating and Drinking,22,14,10,8,7,5,3,4,8,8,9,14,37,43,77,74,114,114,159,112,131,107,128,159,281,278,228,151,149,112,89,73,89,118,175,222,285,295,271,207,182,129,104,71,58,47,42,27
1,5,Leisure and Sports,319,199,149,100,81,45,36,18,23,11,16,21,35,47,76,74,110,134,169,192,269,274,306,303,354,334,380,374,410,416,467,447,472,482,493,477,526,548,614,653,723,716,799,734,728,601,510,388
1,5,Traveling,55,26,33,24,30,19,15,9,11,16,29,40,61,100,167,203,216,191,206,184,211,239,233,226,330,275,290,254,281,282,339,315,304,332,338,340,333,253,242,237,216,184,186,141,143,98,78,66
1,5,Other,57,40,36,22,20,14,12,18,24,21,31,54,124,166,204,220,295,289,370,355,405,422,446,450,491,443,462,394,427,405,433,420,445,436,480,488,490,434,432,436,413,354,300,230,183,129,93,68
2,3,Sleeping,215,222,231,234,245,242,244,243,472,229,229,220,213,177,164,131,124,99,96,82,79,55,54,35,38,24,22,20,23,27,28,30,30,28,23,23,23,26,29,32,39,54,73,95,134,155,178,192
2,3,Grooming,5,4,2,0,0,0,1,0,4,8,10,27,45,47,46,23,27,19,15,20,25,18,27,22,26,12,7,10,13,9,10,13,17,13,15,18,24,20,24,16,25,25,36,27,27,15,10,5
2,3,Working and related activities,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,4,4,5,7,9,10,12,11,13,14,13,12,12,13,11,9,12,12,12,11,12,9,9,10,9,8,8,3,3,1,1,0
2,3,Educational Activities,2,1,1,1,0,0,0,0,0,0,0,2,3,10,41,60,71,78,85,81,81,81,79,77,80,77,85,81,84,67,58,38,27,24,27,25,23,20,23,22,22,17,11,9,8,7,4,2
2,3,Eating and Drinking,1,0,0,0,0,0,1,0,1,2,0,2,6,17,26,19,15,16,19,7,18,18,23,30,41,35,26,11,16,18,16,22,30,26,30,18,26,27,37,27,21,14,18,16,9,6,3,1
2,3,Leisure and Sports,43,21,16,9,9,3,4,3,6,6,5,10,15,22,33,30,34,28,40,40,53,52,62,65,85,85,83,97,111,112,140,150,157,160,164,145,167,156,173,153,160,157,155,130,118,90,71,50
2,3,Traveling,6,4,1,0,2,0,1,1,2,1,2,8,30,50,72,41,38,32,22,21,27,27,33,27,34,32,33,34,56,69,67,59,36,39,51,39,45,33,33,24,25,25,27,15,16,6,10,5
2,3,Other,15,10,10,5,4,1,1,0,8,7,9,17,14,20,23,34,44,33,41,41,51,52,59,56,59,60,64,57,59,55,44,44,51,59,57,53,49,51,51,48,50,41,37,28,27,23,19,17
2,5,Sleeping,245,256,279,282,293,299,305,305,607,303,302,293,283,245,230,191,173,133,123,82,71,53,49,25,25,16,19,19,23,25,25,24,30,26,28,23,23,19,19,19,32,41,56,66,99,129,175,207
2,5,Grooming,15,10,7,4,3,3,4,1,5,5,11,21,35,41,49,46,45,37,48,45,28,25,33,25,22,17,11,15,14,5,8,10,12,10,7,8,13,15,12,21,24,24,27,33,36,28,23,19
2,5,Working and related activities,8,7,7,7,5,5,5,5,11,7,8,10,15,22,27,34,46,51,52,54,62,65,69,69,70,72,72,68,72,70,76,70,75,65,60,52,45,41,37,34,33,26,22,18,21,17,17,12
2,5,Educational Activities,11,8,8,3,4,4,3,3,9,7,7,9,6,10,18,32,42,51,66,63,79,80,75,71,77,71,74,66,63,58,60,50,48,48,53,50,55,56,56,48,50,44,47,37,36,25,23,17
2,5,Eating and Drinking,6,2,3,1,1,2,1,0,0,0,0,4,10,11,15,9,22,24,21,16,21,15,20,20,45,48,40,32,37,29,38,30,29,29,29,34,54,50,42,38,42,28,21,17,14,10,6,2
2,5,Leisure and Sports,73,43,40,26,23,16,16,10,9,2,6,9,13,14,14,11,19,26,33,32,53,49,59,65,71,85,91,90,99,93,110,111,114,111,127,128,139,149,157,154,165,167,180,164,176,136,126,99
2,5,Traveling,18,8,12,10,11,3,1,2,2,1,3,9,18,28,56,67,53,54,50,51,56,58,60,49,70,76,87,78,85,75,83,72,77,70,72,80,88,59,54,39,53,48,50,28,40,27,32,25
2,5,Other,30,23,22,15,14,9,8,3,9,5,9,17,41,45,64,66,70,84,83,96,103,105,117,109,116,104,114,108,97,109,103,93,105,92,104,111,97,95,103,103,117,90,80,68,57,46,47,42
