race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
1,3,Educational Activities,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.05,0.16,0.29,0.36,0.38,0.39,0.39,0.41,0.42,0.42,0.4,0.41,0.39,0.41,0.4,0.39,0.34,0.28,0.19,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.12,0.11,0.1,0.08,0.06,0.04,0.03,0.02
1,5,Educational Activities,0.05,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.03,0.05,0.09,0.12,0.15,0.18,0.2,0.21,0.22,0.24,0.23,0.24,0.2,0.22,0.21,0.22,0.21,0.21,0.19,0.19,0.17,0.18,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.15,0.13,0.11,0.09,0.07
2,3,Educational Activities,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.17,0.24,0.29,0.32,0.35,0.33,0.33,0.33,0.32,0.31,0.33,0.31,0.35,0.33,0.34,0.27,0.24,0.16,0.11,0.1,0.11,0.1,0.09,0.08,0.09,0.09,0.09,0.07,0.04,0.04,0.03,0.03,0.02,0.01
2,5,Educational Activities,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.03,0.02,0.03,0.06,0.1,0.13,0.16,0.2,0.19,0.24,0.25,0.23,0.22,0.24,0.22,0.23,0.2,0.19,0.18,0.18,0.15,0.15,0.15,0.16,0.15,0.17,0.17,0.17,0.15,0.15,0.14,0.14,0.11,0.11,0.08,0.07,0.05
3,3,Educational Activities,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.33,0.44,0.39,0.39,0.39,0.39,0.39,0.44,0.39,0.39,0.39,0.39,0.39,0.39,0.44,0.28,0.17,0.22,0.28,0.28,0.11,0.28,0.28,0.33,0.33,0.28,0.22,0.11,0.11,0.11,0.06,0.06,0.06
3,5,Educational Activities,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.19,0.25,0.25,0.25,0.25,0.31,0.25,0.25,0.25,0.19,0.19,0.19,0.19,0.12,0.19,0.25,0.19,0.31,0.25,0.12,0.12,0.19,0.25,0.12,0.06,0.06,0.06,0.0,0.06
4,3,Educational Activities,0.07,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.05,0.15,0.28,0.35,0.37,0.41,0.46,0.54,0.53,0.5,0.48,0.52,0.45,0.43,0.42,0.42,0.39,0.3,0.3,0.29,0.29,0.28,0.25,0.26,0.24,0.22,0.25,0.31,0.33,0.33,0.25,0.24,0.16,0.13,0.09
4,5,Educational Activities,0.11,0.1,0.08,0.05,0.03,0.02,0.01,0.0,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.1,0.13,0.21,0.24,0.25,0.25,0.29,0.3,0.31,0.29,0.33,0.3,0.29,0.28,0.35,0.31,0.37,0.29,0.3,0.21,0.21,0.18,0.22,0.21,0.21,0.21,0.21,0.26,0.26,0.22,0.24,0.13
1,0,Education with children,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.08,0.14,0.22,0.23,0.19,0.15,0.13,0.12,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.14,0.18,0.18,0.19,0.17,0.19,0.18,0.19,0.21,0.28,0.32,0.33,0.28,0.21,0.13,0.08,0.05,0.02,0.01
2,0,Education with children,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.02,0.03,0.08,0.11,0.14,0.14,0.11,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.04,0.05,0.06,0.07,0.08,0.1,0.12,0.11,0.1,0.11,0.11,0.12,0.12,0.14,0.17,0.18,0.14,0.12,0.11,0.08,0.05,0.03,0.02
3,0,Education with children,0.02,0.03,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.05,0.03,0.04,0.2,0.32,0.18,0.15,0.15,0.11,0.09,0.1,0.06,0.04,0.06,0.09,0.1,0.1,0.12,0.16,0.1,0.05,0.06,0.13,0.14,0.11,0.11,0.13,0.19,0.2,0.14,0.2,0.2,0.14,0.06,0.05,0.04,0.02
4,0,Education with children,0.02,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.11,0.18,0.2,0.21,0.2,0.18,0.15,0.15,0.14,0.13,0.13,0.13,0.1,0.13,0.13,0.15,0.15,0.18,0.2,0.2,0.18,0.21,0.22,0.22,0.21,0.24,0.24,0.28,0.26,0.24,0.19,0.12,0.06,0.04,0.02
