"grp","day"
1,"s,270,o,30,o,120,o,90,o,60,o,120,s,120,o,90,o,60,o,120,s,360"
2,"s,300,o,30,o,60,w,180,o,15,o,10,o,15,o,230,w,120,o,45,s,435"
1,"o,5,o,10,o,20,o,30,o,115,o,20,o,160,o,30,o,150,o,15,o,165,o,30,o,10,o,1,o,1,o,15,o,10,o,30,o,7,o,120,o,7,o,5,o,15,o,20,o,45,o,20,o,60,o,10,s,314"
2,"s,330,o,30,o,15,o,105,o,60,o,10,o,80,o,10,o,80,o,180,o,15,o,90,o,15,o,10,o,20,o,150,s,240"
1,"s,330,o,30,o,15,o,15,o,90,o,20,o,100,o,45,o,165,o,30,o,60,o,20,o,90,o,20,o,60,o,5,o,3,o,1,o,10,o,10,s,321"
1,"s,180,o,35,o,35,o,60,o,20,o,60,o,10,o,20,o,25,o,60,w,120,o,60,w,125,o,35,o,30,w,265,o,90,s,180,o,30"
1,"s,360,o,120,o,90,o,30,o,1,o,5,c,504,o,5,w,60,o,60,s,205"
1,"s,105,o,30,o,15,o,30,c,690,o,5,o,145,o,35,o,40,o,10,o,10,o,15,o,60,s,250"
1,"s,180,o,40,o,30,o,15,c,515,o,15,o,60,w,225,s,360"
1,"s,540,o,60,o,15,s,225,o,30,o,60,o,5,s,30,s,475"
1,"s,300,o,30,o,5,o,5,o,10,c,50,o,60,c,140,o,90,o,60,o,5,o,60,o,5,o,60,o,60,w,60,o,30,o,15,o,5,o,60,o,10,o,90,o,15,s,215"
2,"s,150,o,30,o,20,c,340,o,10,c,89,o,15,o,5,o,120,o,120,o,180,s,361"
1,"s,210,o,10,o,30,o,120,o,60,o,50,o,15,o,5,o,100,o,10,o,110,o,45,o,15,o,25,o,35,o,10,o,110,o,60,o,60,s,360"
1,"s,120,o,20,o,15,c,475,o,20,o,20,o,20,o,35,o,30,o,35,o,140,o,30,o,60,o,30,s,390"
2,"s,390,o,75,o,10,o,185,o,25,o,95,o,60,o,13,o,1,o,15,o,90,o,30,o,1,o,7,o,12,o,10,o,120,o,10,o,291"
1,"s,240,o,120,o,60,o,15,o,105,o,8,o,60,o,5,o,60,o,10,s,120,o,4,o,8,o,145,o,8,o,30,o,5,o,77,w,40,s,320"
1,"s,480,o,60,o,30,o,30,o,60,o,8,o,5,o,2,o,5,o,10,o,120,o,1,o,120,o,15,o,45,o,15,o,30,o,10,o,90,o,45,s,259"
1,"s,105,o,10,o,5,o,60,o,5,o,10,o,10,o,20,o,15,o,30,c,235,o,20,o,25,c,175,o,30,o,10,o,5,o,250,o,5,o,10,o,15,w,90,o,2,s,298"
